index,label
0,NoGesture
1,NoGesture
2,NoGesture
3,NoGesture
4,NoGesture
5,NoGesture
6,NoGesture
7,NoGesture
8,NoGesture
9,NoGesture
10,NoGesture
11,NoGesture
12,NoGesture
13,NoGesture
14,NoGesture
15,NoGesture
16,NoGesture
17,NoGesture
18,NoGesture
19,NoGesture
20,NoGesture
21,NoGesture
22,NoGesture
23,NoGesture
24,NoGesture
25,NoGesture
26,NoGesture
27,NoGesture
28,NoGesture
29,NoGesture
30,NoGesture
31,NoGesture
32,NoGesture
33,NoGesture
34,NoGesture
35,NoGesture
36,NoGesture
37,NoGesture
38,NoGesture
39,NoGesture
40,NoGesture
41,NoGesture
42,NoGesture
43,NoGesture
44,NoGesture
45,NoGesture
46,NoGesture
47,NoGesture
48,NoGesture
49,NoGesture
50,NoGesture
51,NoGesture
52,NoGesture
53,NoGesture
54,NoGesture
55,NoGesture
56,NoGesture
57,NoGesture
58,NoGesture
59,NoGesture
60,NoGesture
61,NoGesture
62,NoGesture
63,NoGesture
64,NoGesture
65,NoGesture
66,NoGesture
67,NoGesture
68,NoGesture
69,NoGesture
70,NoGesture
71,NoGesture
72,NoGesture
73,NoGesture
74,NoGesture
75,NoGesture
76,NoGesture
77,NoGesture
78,NoGesture
79,NoGesture
80,NoGesture
81,NoGesture
82,NoGesture
83,NoGesture
84,NoGesture
85,NoGesture
86,NoGesture
87,NoGesture
88,NoGesture
89,NoGesture
90,NoGesture
91,NoGesture
92,NoGesture
93,NoGesture
94,NoGesture
95,NoGesture
96,NoGesture
97,NoGesture
98,NoGesture
99,NoGesture
100,NoGesture
101,NoGesture
102,NoGesture
103,NoGesture
104,NoGesture
105,NoGesture
106,NoGesture
107,NoGesture
108,NoGesture
109,NoGesture
110,NoGesture
111,NoGesture
112,NoGesture
113,NoGesture
114,NoGesture
115,NoGesture
116,NoGesture
117,NoGesture
118,NoGesture
119,NoGesture
120,NoGesture
121,NoGesture
122,NoGesture
123,NoGesture
124,NoGesture
125,NoGesture
126,NoGesture
127,NoGesture
128,NoGesture
129,NoGesture
130,NoGesture
131,NoGesture
132,NoGesture
133,NoGesture
134,NoGesture
135,NoGesture
136,NoGesture
137,NoGesture
138,NoGesture
139,NoGesture
140,NoGesture
141,NoGesture
142,NoGesture
143,NoGesture
144,NoGesture
145,NoGesture
146,NoGesture
