index,label
0,<hand gesture>
1,<hand_gesture>
2,<hand gesture>
3,<hand gesture>
4,<hand gesture>
5,<hand gesture>
6,<hand_trajectory> <finger_orientation> <hand
7,<hand gesture>
8,<hand gesture>
9,<hand gesture>
10,<hand gesture>
11,<hand gesture>
12,<hand gesture>
13,<hand gesture>
14,<hand gesture>
15,<hand gesture>
16,<hand gesture>
17,<hand gesture>
18,<hand gesture>
19,<hand_trajectory>
20,<hand gesture>
21,<hand gesture>
22,<hand gesture>
23,<hand gesture>
24,<hand_gesture>
25,<hand gesture>
26,<hand gesture>
27,<hand gesture>
28,<hand gesture>
29,<hand gesture>
30,<hand gesture>
31,<hand gesture>
32,<hand gesture>
33,<hand_trajectory>
34,<hand_gesture>
35,<hand_trajectory>
36,<hand gesture>
37,<hand gesture>
38,<hand gesture>
39,<hand gesture>
40,<hand gesture>
41,<hand_gesture>
42,<hand gesture>
43,<hand gesture>
44,<hand gesture>
45,<hand gesture>
46,<hand gesture>
47,<hand_gesture>
48,<hand gesture>
49,<hand gesture>
50,<hand gesture>
51,<hand_trajectory>
52,<hand gesture>
53,<hand gesture>
54,<hand gesture>
55,<hand_gesture>
56,<hand gesture>
57,<hand gesture>
58,<hand gesture>
59,<hand_gesture>
60,<hand gesture>
61,<hand gesture>
62,<hand gesture>
63,<hand_gesture>
64,<hand gesture>
65,<hand gesture>
66,<hand gesture>
67,<hand gesture>
68,<hand gesture>
69,<hand_gesture>
70,<hand_trajectory>
71,<hand gesture>
72,<hand gesture>
73,<hand gesture>
74,<gesture>
75,<hand gesture>
76,<hand gesture>
77,<hand_trajectory> <finger_orientation> <hand
78,<hand_gesture>
79,<hand gesture>
80,<hand gesture>
81,<hand gesture>
82,<hand gesture>
83,<hand gesture>
84,<hand gesture>
85,<hand gesture>
86,<hand gesture>
87,<hand gesture>
88,<hand gesture>
89,<hand_trajectory>
90,<hand_gesture>
91,<hand gesture>
92,<hand gesture>
93,<hand gesture>
94,<hand gesture>
