index,label
0,indexing
1,indexing
2,indexing
3,indexing
4,molding
5,indexing
6,indexing
7,indexing
8,indexing
9,indexing
10,indexing
11,indexing
12,molding
13,indexing
14,indexing
15,indexing
16,indexing
17,indexing
18,indexing
19,indexing
20,indexing
21,indexing
22,indexing
23,indexing
24,indexing
25,indexing
26,indexing
27,indexing
28,indexing
29,indexing
30,indexing
31,indexing
32,indexing
33,indexing
34,indexing
35,indexing
36,indexing
37,indexing
38,indexing
39,indexing
40,indexing
41,indexing
42,indexing
43,indexing
44,indexing
45,indexing
46,indexing
47,indexing
48,indexing
49,indexing
50,indexing
51,indexing
52,indexing
53,indexing
54,indexing
55,indexing
56,molding
57,molding
58,indexing
59,indexing
60,indexing
61,indexing
62,indexing
63,indexing
64,indexing
65,indexing
66,indexing
67,indexing
68,indexing
69,indexing
70,molding
71,indexing
72,indexing
