index,label
0,molding
1,molding
2,molding
3,molding
4,molding
5,molding
6,molding
7,molding
8,molding
9,molding
10,molding
11,molding
12,molding
13,molding
14,molding
15,molding
16,molding
17,molding
18,indexing
19,molding
20,molding
21,molding
22,molding
23,molding
24,molding
25,molding
26,molding
27,molding
28,molding
29,molding
30,molding
31,molding
32,indexing
33,molding
34,molding
35,molding
36,molding
37,molding
38,molding
39,molding
40,molding
41,molding
