index,label
0,wave
1,indexing
2,other
3,wave
4,wave
5,indexing
6,other
7,other
8,other
9,other
10,other
11,indexing
12,other
13,other
14,other
15,other
16,other
17,other
18,other
19,other
20,other
21,NoGesture
22,other
23,other
24,other
25,other
26,other
27,other
28,other
29,other
30,other
31,other
32,other
33,NoGesture
34,other
35,other
36,NoGesture
37,other
38,other
39,other
40,clapping
41,other
42,other
43,other
44,other
45,other
46,other
47,other
48,other
49,other
50,wave
51,other
52,other
53,indexing
54,wave
55,other
56,wave
57,wave
58,other
59,other
60,indexing
61,other
62,other
63,other
64,NoGesture
65,other
66,other
67,wave
68,other
69,other
70,indexing
71,clapping
72,other
73,indexing
74,wave
75,wave
76,wave
77,indexing
78,wave
79,wave
80,wave
81,wave
82,wave
83,other
84,wave
85,wave
86,wave
87,wave
88,other
89,wave
90,other
91,other
92,other
93,other
94,wave
95,other
96,other
97,wave
98,wave
99,other
100,other
101,other
102,other
103,other
104,wave
105,wave
106,other
107,indexing
108,indexing
109,indexing
110,other
111,other
112,other
113,indexing
114,wave
115,indexing
116,other
117,other
118,other
119,other
120,wave
121,wave
122,other
123,wave
124,wave
125,other
126,other
127,other
128,wave
129,wave
130,other
131,other
132,other
133,other
134,other
135,other
136,other
137,other
138,other
139,other
140,wave
141,wave
142,other
143,other
144,other
145,other
146,other
