index,label
0,wave
1,indexing
2,wave
3,wave
4,indexing
5,other
6,wave
7,indexing
8,wave
9,wave
10,wave
11,wave
12,other
13,other
14,indexing
15,other
16,other
17,wave
18,other
19,other
20,indexing
21,clapping
22,indexing
23,indexing
24,wave
25,wave
26,wave
27,indexing
28,wave
29,wave
30,wave
31,wave
32,wave
33,other
34,wave
35,wave
36,wave
37,wave
38,other
39,wave
40,wave
41,wave
42,wave
43,wave
44,wave
45,wave
46,other
47,indexing
48,indexing
49,indexing
50,other
51,indexing
52,wave
53,indexing
54,other
55,other
56,other
57,wave
58,wave
59,wave
60,other
61,wave
62,wave
63,other
64,other
65,other
66,wave
67,wave
68,other
69,other
70,other
71,wave
72,wave
