index,label
0,indexing
1,other
2,other
3,other
4,other
5,other
6,other
7,other
8,other
9,other
10,other
11,clapping
12,wave
13,wave
14,wave
15,wave
16,indexing
17,indexing
18,indexing
19,other
20,other
21,other
22,other
23,indexing
24,other
25,other
26,indexing
27,indexing
28,indexing
29,indexing
30,other
31,other
32,other
33,wave
34,wave
35,other
36,other
37,indexing
38,wave
39,other
40,wave
41,other
42,other
43,other
44,other
45,other
46,other
47,emblematic
48,other
49,other
50,other
51,other
52,other
53,other
54,other
55,other
56,other
57,indexing
58,indexing
59,other
60,indexing
61,indexing
62,other
63,other
64,indexing
65,other
66,indexing
67,other
68,indexing
69,other
70,other
71,other
72,other
73,other
74,indexing
75,other
76,other
77,wave
78,other
79,other
80,other
81,other
82,indexing
83,wave
84,other
85,other
86,other
87,indexing
88,other
89,other
90,other
91,other
92,other
93,indexing
94,clapping
95,other
96,other
97,other
98,other
99,other
100,other
101,other
102,indexing
103,indexing
104,other
105,indexing
106,indexing
107,other
108,other
109,indexing
110,indexing
111,indexing
112,other
113,other
114,other
115,indexing
116,indexing
117,clapping
118,wave
119,indexing
120,indexing
121,indexing
122,other
123,other
124,indexing
125,indexing
126,other
127,indexing
128,indexing
129,other
130,other
131,other
132,indexing
133,other
134,other
135,other
136,other
137,indexing
138,other
139,other
140,wave
141,other
142,indexing
143,other
144,indexing
145,other
146,indexing
147,other
148,other
149,other
150,other
151,other
152,other
153,indexing
154,other
155,indexing
156,indexing
157,other
158,other
159,other
160,other
161,wave
162,indexing
163,indexing
164,indexing
165,wave
166,wave
167,other
168,other
169,indexing
170,indexing
171,other
172,other
173,other
174,other
175,other
176,other
177,other
178,other
179,indexing
180,emblematic
181,other
182,indexing
183,indexing
184,indexing
185,indexing
186,indexing
187,indexing
188,indexing
189,indexing
190,indexing
191,indexing
192,indexing
193,other
194,wave
195,other
196,indexing
197,other
198,other
199,other
200,other
201,indexing
202,other
203,other
204,other
205,indexing
206,indexing
207,other
208,wave
209,other
210,wave
211,indexing
212,wave
213,other
214,other
215,other
216,other
217,other
218,other
219,other
220,other
221,other
222,other
223,clapping
224,other
225,other
226,other
227,other
228,other
229,clapping
230,drawing
231,clapping
232,other
233,other
234,other
235,other
236,other
237,other
238,other
239,other
240,other
241,other
242,other
243,other
244,clapping
245,other
246,other
247,other
248,other
249,other
250,other
251,other
252,other
253,other
254,other
255,other
