frame,time,label
0,4.48,NoGesture
1,4.52,NoGesture
2,4.56,NoGesture
3,4.64,NoGesture
4,4.68,NoGesture
5,4.72,NoGesture
6,4.76,NoGesture
7,4.8,NoGesture
8,4.84,NoGesture
9,4.88,NoGesture
10,4.92,NoGesture
11,4.96,NoGesture
12,5.0,NoGesture
13,5.04,NoGesture
14,5.08,NoGesture
15,5.12,NoGesture
16,5.16,NoGesture
17,5.2,NoGesture
18,5.24,NoGesture
19,5.28,NoGesture
20,5.32,NoGesture
21,5.36,NoGesture
22,5.4,NoGesture
23,5.44,NoGesture
24,5.48,NoGesture
25,5.52,NoGesture
26,5.56,NoGesture
27,5.6,NoGesture
28,5.64,NoGesture
29,5.68,NoGesture
30,5.72,NoGesture
31,5.76,NoGesture
32,5.8,NoGesture
33,5.84,NoGesture
34,5.88,NoGesture
35,5.92,NoGesture
36,5.96,NoGesture
37,6.0,NoGesture
38,6.04,NoGesture
39,6.08,NoGesture
40,6.12,NoGesture
41,6.16,NoGesture
42,6.2,NoGesture
43,6.24,NoGesture
44,6.28,NoGesture
45,6.32,NoGesture
46,6.36,NoGesture
47,6.4,NoGesture
48,6.44,NoGesture
49,6.48,NoGesture
50,6.52,NoGesture
51,6.56,NoGesture
52,6.6,NoGesture
53,6.64,NoGesture
54,6.68,NoGesture
55,6.72,NoGesture
56,6.76,NoGesture
57,6.8,NoGesture
58,6.84,NoGesture
59,6.88,NoGesture
60,6.92,NoGesture
61,6.96,NoGesture
62,7.0,NoGesture
63,7.04,NoGesture
64,7.08,NoGesture
65,7.12,NoGesture
66,7.16,NoGesture
67,7.2,NoGesture
68,7.24,NoGesture
69,7.28,NoGesture
70,7.32,NoGesture
71,7.36,NoGesture
72,7.4,NoGesture
73,7.44,NoGesture
74,7.48,NoGesture
75,7.52,NoGesture
76,7.56,NoGesture
77,7.6,NoGesture
78,7.64,NoGesture
79,7.68,NoGesture
80,7.72,NoGesture
81,7.76,NoGesture
82,7.8,NoGesture
83,7.84,NoGesture
