index,label
0,representing
1,indexing
2,nogesture
3,representing
4,molding
5,emblematic
6,representing
7,nogesture
8,representing
9,indexing
10,representing
11,indexing
12,other
13,nogesture
14,other
15,other
16,emblematic
17,indexing
18,indexing
19,indexing
20,indexing
21,indexing
22,indexing
23,other
24,molding
25,emblematic
26,nogesture
27,indexing
28,nogesture
29,emblematic
30,indexing
31,nogesture
32,nogesture
33,nogesture
34,nogesture
35,nogesture
36,nogesture
37,nogesture
38,nogesture
39,nogesture
40,nogesture
41,nogesture
42,nogesture
43,representing
44,nogesture
45,representing
46,nogesture
47,nogesture
48,nogesture
49,nogesture
50,emblematic
51,nogesture
52,nogesture
53,nogesture
54,indexing
55,indexing
56,representing
57,emblematic
58,indexing
59,emblematic
60,indexing
61,representing
62,nogesture
63,other
64,other
65,nogesture
66,nogesture
67,emblematic
68,emblematic
69,indexing
70,indexing
71,indexing
72,indexing
73,indexing
74,emblematic
75,indexing
76,indexing
77,indexing
78,indexing
79,indexing
80,indexing
81,indexing
82,indexing
83,indexing
84,indexing
85,indexing
86,indexing
87,indexing
88,indexing
89,indexing
90,molding
91,other
92,molding
93,other
94,representing
95,molding
96,molding
97,emblematic
98,emblematic
99,other
100,representing
101,nogesture
102,nogesture
103,nogesture
104,indexing
105,representing
106,representing
107,indexing
108,indexing
109,indexing
110,emblematic
111,representing
112,other
113,emblematic
114,emblematic
115,nogesture
116,emblematic
117,representing
118,nogesture
119,nogesture
120,indexing
121,representing
122,molding
123,indexing
124,indexing
125,indexing
126,emblematic
127,emblematic
128,indexing
129,emblematic
130,indexing
131,indexing
132,indexing
133,molding
134,other
135,other
136,nogesture
137,indexing
138,other
139,nogesture
140,indexing
141,emblematic
142,nogesture
143,nogesture
144,nogesture
145,other
146,indexing
