index,label
0,emblematic
1,indexing
2,representing
3,representing
4,indexing
5,representing
6,emblematic
7,indexing
8,representing
9,representing
10,representing
11,representing
12,representing
13,representing
14,indexing
15,representing
16,other
17,representing
18,representing
19,representing
20,indexing
21,emblematic
22,indexing
23,indexing
24,representing
25,representing
26,representing
27,indexing
28,representing
29,representing
30,representing
31,representing
32,representing
33,indexing
34,representing
35,representing
36,indexing
37,indexing
38,representing
39,representing
40,representing
41,representing
42,representing
43,representing
44,representing
45,representing
46,representing
47,indexing
48,indexing
49,indexing
50,representing
51,indexing
52,emblematic
53,indexing
54,representing
55,representing
56,other
57,emblematic
58,representing
59,representing
60,indexing
61,indexing
62,representing
63,emblematic
64,representing
65,molding
66,representing
67,representing
68,representing
69,representing
70,representing
71,representing
72,representing
