index,label
0,indexing
1,indexing
2,indexing
3,molding
4,indexing
5,indexing
6,representing
7,indexing
8,indexing
9,indexing
10,emblematic
11,representing
12,molding
13,indexing
14,indexing
15,indexing
16,indexing
17,emblematic
18,emblematic
19,emblematic
20,indexing
21,emblematic
22,emblematic
23,indexing
24,emblematic
25,emblematic
26,indexing
27,indexing
28,indexing
29,indexing
30,indexing
31,emblematic
32,indexing
33,indexing
34,indexing
35,indexing
36,emblematic
37,indexing
38,emblematic
39,indexing
40,indexing
41,indexing
42,indexing
43,indexing
44,other
45,indexing
46,indexing
47,indexing
48,indexing
49,indexing
50,indexing
51,indexing
52,representing
53,indexing
54,emblematic
55,emblematic
56,emblematic
57,indexing
58,indexing
59,representing
60,indexing
61,representing
62,indexing
63,emblematic
64,emblematic
65,emblematic
66,representing
67,representing
68,emblematic
69,indexing
70,indexing
71,representing
72,representing
