index,label
1,emblem
2,emblem
3,emblem
4,emblem
5,adaptor
6,deictic
7,emblem
8,emblem
9,emblem
10,emblem
11,adaptor
12,adaptor
13,adaptor
14,emblem
15,emblem
16,emblem
17,emblem
18,emblem
19,emblem
20,adaptor
21,emblem
22,emblem
23,emblem
24,emblem
25,emblem
26,emblem
27,emblem
28,emblem
29,adaptor
30,emblem
31,emblem
32,emblem
33,emblem
34,emblem
35,emblem
36,adaptor
37,adaptor
38,emblem
39,emblem
40,emblem
41,emblem
42,emblem
43,deictic
44,emblem
45,emblem
46,emblem
47,emblem
48,emblem
49,adaptor
50,emblem
51,adaptor
52,emblem
53,emblem
54,emblem
55,emblem
56,emblem
57,emblem
58,emblem
59,emblem
60,emblem
61,emblem
62,emblem
63,emblem
64,emblem
65,emblem
66,emblem
67,emblem
68,adaptor
69,adaptor
70,emblem
71,emblem
72,emblem
73,emblem
74,emblem
75,iconic
76,emblem
77,emblem
78,emblem
