index,label
1,indexing
2,indexing
3,indexing
4,representing
5,indexing
6,indexing
7,other
8,other
9,other
10,representing
11,molding
12,indexing
13,indexing
14,indexing
15,other
16,other
17,indexing
18,molding
19,indexing
20,indexing
21,other
22,other
23,indexing
24,indexing
25,molding
26,representing
27,indexing
28,molding
29,molding
30,other
31,other
32,other
33,molding
34,other
35,indexing
36,other
37,other
38,other
39,other
40,indexing
41,other
42,other
43,other
44,other
45,other
46,molding
47,other
48,other
49,indexing
50,other
51,ok
52,indexing
53,representing
54,indexing
55,indexing
56,representing
57,emblematic
58,representing
59,other
60,molding
61,indexing
62,representing
63,other
64,other
65,nogesture
66,indexing
67,other
68,indexing
69,representing
70,indexing
71,indexing
72,emblematic
73,representing
74,indexing
75,representing
76,representing
77,indexing
78,indexing
79,representing
80,representing
81,representing
82,other
83,indexing
84,indexing
85,representing
86,molding
87,indexing
88,indexing
89,emblematic
90,representing
91,other
92,other
93,other
94,other
95,representing
96,indexing
97,molding
98,representing
99,representing
100,molding
101,representing
102,other
103,molding
104,nogesture
105,indexing
106,representing
107,representing
108,indexing
109,indexing
110,indexing
111,indexing
112,molding
113,indexing
114,indexing
115,ok
116,indexing
117,representing
118,indexing
119,indexing
120,emblematic
121,indexing
122,indexing
123,other
124,indexing
125,emblematic
126,emblematic
127,molding
128,molding
129,representing
130,representing
131,representing
132,representing
133,molding
134,other
135,other
136,molding
137,other
138,other
139,other
140,molding
141,indexing
142,representing
143,molding
144,indexing
145,molding
146,molding
147,molding
