index,label
1,Gesture
2,Gesture
3,Gesture
4,Gesture
5,Gesture
6,Gesture
7,Gesture
8,Gesture
9,Gesture
10,Gesture
11,Gesture
12,Gesture
13,NoGesture
14,Gesture
15,Gesture
16,Gesture
17,Gesture
18,Gesture
19,Gesture
20,Gesture
21,Gesture
22,Gesture
23,Gesture
24,Gesture
25,Gesture
26,NoGesture
27,Gesture
28,Gesture
29,Gesture
30,Gesture
31,Gesture
32,Gesture
33,NoGesture
34,Gesture
35,Gesture
36,Gesture
37,Gesture
38,Gesture
39,Gesture
40,NoGesture
41,Gesture
42,Gesture
