start_t,end_t,label
7.03,9.05,deictic (abstract)
9.44,11.33,beat
11.35,12.38,beat
12.42,13.0,beat
13.0,14.31,beat
14.34,17.03,metaphoric
17.05,18.16,metaphoric
18.19,22.58,metaphoric
23.03,24.84,metaphoric
25.37,26.52,metaphoric
26.57,32.48,deictic (abstract)
32.51,35.71,beat
36.22,41.48,beat
41.82,42.56,beat
43.53,46.21,deictic (abstract)
51.95,54.58,deictic (abstract)
54.6,55.71,deictic (abstract)
56.21,58.5,deictic (abstract)
58.81,60.12,beat
60.15,61.6,metaphoric
62.25,63.3,metaphoric
63.73,65.444,metaphoric
65.64,67.72,beat
68.44,69.89,beat
70.1,72.56,beat
73.25,76.73,metaphoric
79.18,80.18,beat
80.46,81.53,beat
81.7,83.23,deictic (abstract)
83.23,84.32,deictic (abstract)
85.14,86.54,beat
86.57,87.73,metaphoric
89.18,91.13,beat
91.47,92.29,beat
92.91,93.73,beat
96.11,97.52,beat
104.77,106.23,beat
106.8,108.68,deictic (abstract)
108.96,111.73,beat
111.76,113.78,beat
114.48,115.99,beat
128.43,129.84,metaphoric
129.87,132.88,metaphoric
132.9,134.57,metaphoric
134.6,135.59,metaphoric
135.63,136.21,beat
136.24,137.3,beat
137.3,139.18,deictic (abstract)
139.56,142.44,beat
142.46,144.38,metaphoric
147.07,150.28,beat
150.3,154.82,metaphoric
154.84,156.57,beat
156.6,157.56,beat
158.22,159.02,beat
159.87,160.96,beat
172.23,174.12,emblem
191.26,192.09,beat
192.58,193.52,beat
201.93,202.43,beat
202.43,203.94,metaphoric
204.15,204.86,beat
204.89,206.14,metaphoric
206.17,206.79,beat
206.81,208.2,metaphoric
209.72,212.95,beat
212.98,216.55,deictic
217.54,218.92,beat
218.94,220.53,metaphoric
222.93,225.13,deictic
225.17,226.29,metaphoric
227.25,228.25,beat
231.81,232.6,beat
232.6,233.63,beat
234.59,235.7,beat
236.69,237.84,deictic
238.7,239.86,beat
242.8,244.11,emblem
244.3,246.18,beat
262.52,263.44,beat
263.47,264.34,beat
264.38,265.15,beat
265.15,268.08,beat
268.76,271.29,metaphoric
271.33,274.54,metaphoric
274.57,275.25,beat
275.28,276.84,metaphoric
276.86,280.05,beat
280.7,281.7,beat
281.74,284.19,beat
284.22,285.05,beat
301.25,302.6,deictic (abstract)
303.28,303.68,beat
303.71,305.91,beat
306.01,308.43,beat
308.46,309.66,emblem
314.97,316.98,metaphoric
317.78,318.92,emblem
319.75,321.04,metaphoric
340.17,347.09,metaphoric
347.13,348.42,deictic (abstract)
348.44,349.24,deictic (abstract)
349.24,350.74,metaphoric
350.77,355.36,beat
355.39,357.86,metaphoric
357.89,359.74,beat
359.78,361.0,metaphoric
361.05,362.13,emblem
362.18,363.29,beat
363.32,364.84,beat
364.86,366.53,beat
367.27,368.41,beat
368.45,369.09,beat
369.12,370.39,metaphoric
381.27,382.88,beat
383.46,387.67,beat
435.45,436.41,beat
436.43,438.16,deictic (abstract)
438.18,438.95,deictic (abstract)
439.09,440.15,deictic (abstract)
440.69,442.42,deictic (abstract)
442.48,443.56,deictic (abstract)
443.59,444.63,deictic (abstract)
