index,label
0,metaphoric
1,metaphoric
2,metaphoric
3,metaphoric
4,metaphoric
5,metaphoric
6,metaphoric
7,metaphoric
8,metaphoric
9,metaphoric
10,metaphoric
11,metaphoric
12,emblem
13,metaphoric
14,metaphoric
15,metaphoric
16,metaphoric
17,deictic
18,metaphoric
19,adaptor
20,metaphoric
21,metaphoric
22,deictic
23,metaphoric
24,metaphoric
25,metaphoric
26,metaphoric
27,metaphoric
28,metaphoric
29,metaphoric
30,metaphoric
31,metaphoric
32,metaphoric
33,metaphoric
34,metaphoric
35,beat
36,metaphoric
37,metaphoric
38,metaphoric
39,metaphoric
40,metaphoric
41,metaphoric
42,metaphoric
43,metaphoric
44,metaphoric
45,metaphoric
46,metaphoric
47,metaphoric
48,beat
49,metaphoric
50,metaphoric
51,deictic
52,metaphoric
53,deictic (abstract)
54,metaphoric
55,deictic
56,metaphoric
57,metaphoric
58,metaphoric
59,metaphoric
60,deictic (abstract)
61,metaphoric
62,metaphoric
63,beat
64,metaphoric
65,metaphoric
66,metaphoric
67,beat
68,beat
69,deictic
70,metaphoric
71,metaphoric
72,beat
73,metaphoric
74,metaphoric
75,deictic (abstract)
76,metaphoric
77,metaphoric
