start_t,end_t,label
5.26,8.1,beat
8.89,10.42,beat
11.83,12.78,beat
12.8,14.39,metaphoric
15.05,17.17,beat
17.2,21.7,metaphoric
21.73,22.26,metaphoric
22.28,24.4,metaphoric
26.1,29.2,metaphoric
29.24,35.32,metaphoric
92.08,94.55,metaphoric
94.58,99.37,emblem
99.39,102.29,metaphoric
102.32,121.58,emblem
121.58,123.24,metaphoric
149.35,150.47,metaphoric
157.83,163.17,beat
164.44,165.68,metaphoric
166.81,168.63,metaphoric
199.17,201.05,metaphoric
201.08,202.99,metaphoric
203.01,204.3,metaphoric
204.33,206.88,metaphoric
224.2,225.8,beat
225.8,227.49,deictic
227.51,228.44,metaphoric
228.46,230.39,metaphoric
230.42,233.61,metaphoric
233.63,237.02,metaphoric
239.34,240.16,beat
243.88,244.46,beat
244.46,245.64,metaphoric
245.66,247.71,deictic
247.73,248.49,metaphoric
248.51,251.23,beat
251.25,254.5,metaphoric
254.52,257.76,metaphoric
275.12,276.36,deictic
320.21,321.45,metaphoric
321.49,322.27,beat
322.31,323.13,metaphoric
323.16,323.83,beat
330.2,331.21,emblem
331.23,332.01,metaphoric
332.04,334.56,emblem
334.59,337.32,beat
337.34,344.04,emblem
344.07,347.49,metaphoric
347.86,349.13,beat
349.16,355.02,metaphoric
355.05,362.18,beat
362.32,366.86,beat
366.89,367.59,beat
367.61,368.83,beat
368.86,370.89,metaphoric
370.92,372.83,metaphoric
436.92,438.21,beat
473.01,479.26,beat
479.28,481.5,metaphoric
482.97,487.72,metaphoric
489.01,491.1,metaphoric
491.12,493.2,metaphoric
493.23,494.68,beat
494.71,496.13,deictic
496.15,497.8,metaphoric
497.83,501.09,metaphoric
501.12,504.09,deictic
506.3,508.18,beat
508.21,511.11,beat
531.13,532.89,metaphoric
532.92,533.73,beat
533.73,534.79,metaphoric
534.82,535.43,iconic
535.45,536.24,metaphoric
536.26,538.38,metaphoric
560.22,562.53,metaphoric
562.55,563.67,metaphoric
563.7,565.27,beat
578.62,580.9,metaphoric
580.93,583.36,metaphoric
614.04,615.85,metaphoric
615.88,617.75,beat
617.78,618.08,metaphoric
618.08,619.64,metaphoric
619.66,621.23,metaphoric
621.26,622.2,beat
623.46,626.27,beat
629.3,631.23,beat
631.26,633.54,beat
633.56,635.24,metaphoric
635.26,639.14,beat
639.17,641.5,iconic
641.53,644.68,metaphoric
644.7,648.42,deictic
648.45,660.12,metaphoric
660.15,661.18,deictic
705.24,708.5,metaphoric
708.53,709.5,iconic
709.53,711.33,iconic
734.12,737.75,metaphoric
737.77,739.05,metaphoric
739.08,740.27,metaphoric
741.1,742.43,beat
743.68,744.34,beat
744.36,748.26,metaphoric
748.3,753.75,metaphoric
753.78,754.95,beat
754.95,757.28,metaphoric
757.32,758.76,deictic (abstract)
758.79,759.22,metaphoric
759.25,762.24,metaphoric
762.27,763.7,metaphoric
763.73,764.94,deictic
765.15,765.82,beat
