start_t,end_t,label
39.29,42.25,adaptor
259.85,260.92,iconic
832.15,833.99,beat
837.85,842.49,beat
842.51,844.3,beat
848.76,851.66,emblem
851.67,853.1,beat
862.64,866.5,beat
866.52,868.72,iconic
868.75,869.52,adaptor
870.2,872.7,iconic
874.86,876.62,beat
876.65,877.53,beat
877.55,878.91,metaphoric
878.92,879.94,beat
879.97,883.73,deictic
883.76,885.49,beat
885.52,886.42,beat
886.44,887.62,deictic
887.63,888.34,deictic
888.34,889.6,deictic
893.15,893.88,beat
893.9,895.4,beat
895.43,898.09,beat
898.11,901.7,iconic
904.1,907.4,beat
1000.4,1002.29,metaphoric
1043.94,1046.73,beat
1067.32,1070.31,beat
1074.29,1075.59,metaphoric
1116.76,1118.23,beat
1128.37,1129.98,iconic
1511.3,1512.98,emblem
1531.55,1531.97,metaphoric
1531.97,1532.99,metaphoric
1634.49,1635.59,beat
1642.66,1644.11,beat
1652.9,1654.16,emblem
1657.63,1659.57,beat
1705.06,1709.04,beat
1709.05,1710.52,beat
1710.86,1711.86,beat
1711.87,1716.63,beat
1716.64,1718.24,beat
1718.26,1719.55,beat
1720.67,1721.37,beat
1721.39,1722.41,metaphoric
1722.41,1723.39,beat
1723.42,1725.24,metaphoric
1755.43,1756.2,metaphoric
1783.29,1784.94,metaphoric
1784.95,1788.77,beat
1788.79,1791.05,beat
1791.08,1791.98,beat
1791.99,1793.17,beat
1793.19,1795.41,beat
1845.74,1847.02,deictic
1847.03,1848.47,deictic
1849.15,1850.27,deictic
1859.75,1860.86,deictic
1869.42,1870.22,beat
1876.15,1878.49,iconic
1878.52,1879.96,beat
1879.98,1881.74,iconic
1884.0,1885.42,beat
1890.5,1891.92,beat
1958.89,1959.64,deictic
1974.16,1975.39,metaphoric
1978.94,1979.6,beat
2000.64,2001.36,metaphoric
2028.4,2029.4,beat
2029.44,2031.2,adaptor
2037.01,2038.09,beat
2047.55,2048.53,beat
2048.53,2048.91,beat
2048.91,2055.2,beat
2083.95,2085.71,metaphoric
2095.79,2097.59,metaphoric
2167.44,2168.16,beat
2170.48,2171.37,beat
2285.16,2286.21,adaptor
2287.27,2288.48,metaphoric
2330.35,2331.48,beat
2337.28,2338.57,adaptor
2349.92,2350.86,deictic (abstract)
2406.61,2407.58,adaptor
2410.0,2410.62,metaphoric
2410.64,2411.47,beat
2427.33,2428.63,adaptor
2441.93,2443.0,iconic
2635.14,2637.57,iconic
2643.61,2645.64,beat
2645.64,2646.85,iconic
2646.87,2648.3,deictic (abstract)
2678.32,2679.28,deictic (abstract)
2679.31,2680.73,deictic (abstract)
2692.11,2693.15,metaphoric
2695.05,2697.88,iconic
2701.55,2702.17,beat
2702.18,2704.15,beat
2704.17,2706.94,beat
2706.96,2708.35,beat
2708.38,2709.58,beat
2709.59,2710.36,beat
2710.39,2711.88,metaphoric
2711.9,2713.83,metaphoric
2769.33,2772.98,beat
2773.0,2775.15,metaphoric
2775.16,2781.07,beat
2781.1,2783.48,beat
2783.49,2785.95,beat
2785.97,2787.79,beat
2787.81,2791.3,beat
2791.32,2792.87,beat
2792.89,2797.07,beat
2797.08,2799.77,metaphoric
2799.78,2809.31,metaphoric
2811.3,2812.39,metaphoric
2812.4,2813.12,metaphoric
2813.13,2813.9,metaphoric
2839.96,2841.65,metaphoric
2841.66,2843.66,metaphoric
2843.68,2849.96,beat
2849.97,2851.87,beat
2851.9,2853.68,beat
2853.71,2858.53,beat
2858.55,2860.06,metaphoric
2860.07,2861.9,metaphoric
2861.92,2866.4,metaphoric
2866.42,2868.25,beat
2891.33,2893.17,metaphoric
2893.19,2894.23,deictic (abstract)
2894.23,2896.32,metaphoric
2896.34,2901.05,beat
2901.06,2906.03,beat
2906.04,2910.5,beat
