start_t,end_t,label
22.43,23.53,deictic (abstract)
26.38,28.2,beat
61.29,63.5,metaphoric
67.99,73.13,beat
78.19,78.9,beat
88.37,89.26,beat
89.79,92.57,beat
95.59,97.32,beat
112.65,114.51,beat
115.34,118.46,beat
118.48,119.61,beat
122.2,123.16,beat
126.16,127.97,metaphoric
135.71,136.23,beat
136.26,138.08,metaphoric
142.19,143.12,beat
150.52,151.04,beat
151.06,153.39,beat
156.31,158.08,metaphoric
171.26,173.45,beat
177.88,181.04,deictic
181.07,183.29,deictic (abstract)
183.32,185.29,beat
185.85,188.69,metaphoric
194.5,196.36,metaphoric
197.2,198.21,beat
198.23,202.14,deictic (abstract)
203.78,204.21,metaphoric
204.21,205.72,deictic (abstract)
207.04,208.0,beat
209.8,210.56,beat
217.36,219.74,beat
219.76,225.37,beat
352.33,354.66,metaphoric
354.67,355.89,metaphoric
356.36,357.72,beat
366.22,367.58,beat
371.66,373.09,beat
373.26,374.49,beat
374.51,376.56,metaphoric
376.58,379.3,metaphoric
379.31,381.53,metaphoric
393.73,394.91,beat
399.34,401.14,deictic (abstract)
401.65,403.52,metaphoric
403.54,404.57,metaphoric
405.35,405.99,beat
414.51,415.53,beat
416.85,418.41,beat
418.44,419.65,beat
421.48,424.87,metaphoric
427.66,430.58,beat
430.6,433.19,beat
436.35,439.84,deictic (abstract)
439.86,442.55,beat
442.57,445.09,metaphoric
445.11,449.25,metaphoric
449.26,452.23,beat
452.25,453.5,beat
453.52,455.55,beat
455.57,456.97,beat
459.97,461.24,beat
461.36,464.97,beat
464.99,466.38,beat
466.39,467.35,beat
467.37,468.63,beat
468.63,470.02,beat
470.04,473.08,beat
473.09,478.42,metaphoric
480.16,481.31,beat
482.69,483.44,beat
483.44,485.95,metaphoric
485.96,487.81,beat
489.27,490.43,beat
491.95,492.76,metaphoric
502.04,502.66,deictic (abstract)
502.68,503.42,beat
506.74,508.48,beat
510.07,511.51,metaphoric
515.01,516.43,metaphoric
516.45,519.09,beat
519.12,523.22,beat
523.23,526.31,beat
526.33,528.06,metaphoric
543.28,544.53,beat
548.04,552.62,beat
553.03,557.31,beat
557.34,559.76,beat
559.78,561.82,metaphoric
561.84,563.12,metaphoric
580.99,582.62,beat
593.07,593.93,beat
686.46,687.41,beat
696.35,697.24,beat
726.01,727.24,metaphoric
728.93,730.5,metaphoric
731.53,732.67,metaphoric
735.35,736.3,metaphoric
740.06,741.04,beat
769.72,770.65,beat
772.26,776.42,beat
776.45,777.67,beat
777.7,778.64,beat
780.12,781.58,iconic
782.04,785.92,beat
789.4,790.65,metaphoric
790.69,791.94,metaphoric
791.95,794.0,metaphoric
794.01,795.4,deictic (abstract)
795.42,796.65,metaphoric
796.67,800.96,metaphoric
800.99,802.23,metaphoric
803.43,804.59,adaptor
804.62,809.2,beat
809.22,818.98,metaphoric
818.99,826.53,metaphoric
826.55,828.36,metaphoric
828.37,830.3,beat
830.32,840.75,deictic (abstract)
840.76,843.23,beat
843.25,847.64,beat
881.46,885.47,beat
885.86,889.91,beat
946.76,947.9,beat
947.9,951.91,metaphoric
951.93,953.68,metaphoric
953.69,955.9,metaphoric
955.91,962.2,metaphoric
962.21,968.77,beat
1170.61,1172.07,iconic
1211.8,1215.05,deictic (abstract)
1215.07,1216.86,beat
1220.92,1222.63,beat
1225.66,1228.98,beat
1308.83,1312.17,beat
1312.2,1315.27,beat
1319.62,1325.48,metaphoric
1326.02,1332.06,beat
1332.25,1337.9,metaphoric
1337.92,1341.88,metaphoric
1341.89,1343.47,beat
1343.49,1345.04,metaphoric
1345.06,1347.16,beat
1347.18,1350.11,metaphoric
1350.13,1353.74,metaphoric
1353.76,1354.33,deictic (abstract)
1354.35,1356.32,deictic (abstract)
1356.33,1360.29,metaphoric
1360.31,1363.2,metaphoric
1363.22,1369.67,metaphoric
1369.69,1374.49,deictic (abstract)
1374.5,1377.59,metaphoric
1377.62,1379.62,metaphoric
1379.64,1381.98,metaphoric
1383.84,1385.49,beat
1385.51,1388.17,metaphoric
1388.33,1395.2,deictic (abstract)
1412.82,1413.84,iconic
1413.85,1414.94,beat
1442.6,1445.49,beat
1445.5,1447.17,beat
1447.19,1449.05,deictic (abstract)
1450.87,1454.4,beat
1454.41,1457.59,deictic (abstract)
1457.61,1458.92,beat
1474.35,1476.53,beat
1478.84,1479.79,beat
1480.46,1481.32,beat
1481.34,1483.52,beat
1483.54,1485.9,beat
1485.92,1488.11,deictic (abstract)
1488.12,1491.08,metaphoric
1491.09,1492.79,metaphoric
1492.81,1493.65,beat
1507.35,1511.23,beat
1511.26,1513.45,metaphoric
1514.66,1515.47,beat
1518.88,1520.9,metaphoric
1521.57,1524.3,metaphoric
1524.31,1530.03,metaphoric
1530.05,1533.2,deictic (abstract)
1536.08,1537.77,metaphoric
1541.91,1543.89,beat
1556.07,1558.68,beat
1558.7,1560.32,deictic (abstract)
1560.35,1561.53,beat
1561.55,1563.6,beat
1563.62,1564.97,deictic (abstract)
1564.99,1566.14,beat
1567.09,1568.9,emblem
1573.17,1574.96,beat
1575.45,1577.11,metaphoric
1584.78,1585.73,metaphoric
1585.73,1587.25,metaphoric
1587.27,1588.55,metaphoric
1588.57,1590.24,metaphoric
1590.26,1592.61,metaphoric
1592.63,1594.33,beat
1594.35,1596.34,metaphoric
1601.19,1603.12,deictic (abstract)
1603.15,1604.26,metaphoric
1607.0,1608.09,beat
1611.19,1611.63,beat
1611.64,1613.89,adaptor
1613.92,1614.71,beat
1626.9,1630.88,deictic
1689.43,1691.18,metaphoric
1693.29,1695.1,metaphoric
1700.11,1701.97,beat
1715.11,1717.32,beat
1731.0,1731.98,beat
1732.98,1734.02,beat
1734.47,1736.02,beat
1780.5,1783.21,metaphoric
1783.23,1784.51,metaphoric
1789.87,1791.32,metaphoric
1793.62,1795.8,metaphoric
