start_t,end_t,label
7.84,9.18,metaphoric
10.51,11.78,metaphoric
14.97,15.96,beat
16.94,18.74,beat
18.74,20.46,metaphoric
20.46,25.08,beat
25.1,26.55,metaphoric
26.56,27.65,beat
28.55,29.74,metaphoric
31.24,33.3,beat
33.3,34.67,metaphoric
34.69,36.89,metaphoric
36.91,39.63,beat
39.67,41.65,beat
43.48,45.91,beat
57.91,59.05,beat
61.94,62.88,beat
63.89,68.21,metaphoric
69.44,71.04,beat
72.32,76.33,beat
79.51,80.64,metaphoric
82.57,84.92,metaphoric
85.63,92.49,beat
92.78,96.36,beat
96.76,98.3,metaphoric
98.32,100.75,metaphoric
100.77,103.55,metaphoric
104.89,107.29,beat
107.31,113.38,beat
113.41,117.13,metaphoric
117.51,118.86,beat
121.46,122.72,metaphoric
125.97,127.33,metaphoric
127.35,129.51,metaphoric
131.79,133.04,metaphoric
133.04,135.65,beat
135.67,137.8,beat
137.81,141.07,beat
141.08,143.77,metaphoric
144.9,146.0,emblem
146.03,146.56,beat
146.86,148.9,beat
149.27,166.17,beat
166.55,170.97,beat
174.81,178.64,beat
178.66,180.6,beat
180.62,185.8,beat
187.12,190.69,beat
190.92,192.96,beat
193.43,194.37,beat
194.4,196.82,metaphoric
196.84,199.96,beat
201.72,203.84,beat
205.42,206.4,beat
206.42,208.4,metaphoric
208.42,209.88,beat
210.51,212.4,beat
214.21,223.18,beat
223.21,225.98,metaphoric
226.0,229.03,metaphoric
229.05,230.87,metaphoric
230.9,232.37,beat
232.39,235.51,metaphoric
236.11,237.43,beat
238.15,238.91,beat
240.16,244.22,metaphoric
244.74,246.1,beat
246.39,247.47,emblem
248.69,250.32,metaphoric
250.33,251.17,metaphoric
251.19,252.48,metaphoric
252.5,254.01,metaphoric
254.13,256.05,deictic (abstract)
256.07,257.87,metaphoric
262.06,263.57,deictic (abstract)
263.65,265.22,metaphoric
265.26,266.51,metaphoric
269.52,271.28,beat
271.31,272.39,beat
272.42,274.65,beat
274.66,277.91,beat
277.94,279.58,beat
279.6,281.04,beat
281.56,282.47,beat
282.63,284.65,beat
284.68,286.48,iconic
286.5,289.26,beat
289.28,300.88,deictic (abstract)
300.9,302.3,beat
302.33,303.93,emblem
306.08,306.99,metaphoric
307.88,309.83,beat
310.44,311.45,beat
311.99,312.84,beat
318.71,321.5,beat
321.53,330.23,deictic (abstract)
330.26,332.1,iconic
332.13,334.86,iconic
335.23,342.15,metaphoric
342.8,345.21,metaphoric
345.24,350.65,metaphoric
350.67,353.8,metaphoric
353.83,359.21,metaphoric
359.24,361.14,metaphoric
361.17,362.25,metaphoric
363.36,364.34,beat
364.37,365.19,beat
365.89,366.65,beat
367.88,369.71,beat
369.73,372.55,metaphoric
373.61,376.84,metaphoric
377.61,379.13,metaphoric
379.17,381.82,beat
381.84,384.65,metaphoric
385.59,386.37,beat
386.38,387.47,deictic
387.48,388.56,metaphoric
388.59,391.52,metaphoric
391.55,392.15,metaphoric
392.15,394.47,metaphoric
395.84,396.63,metaphoric
397.81,398.84,beat
400.84,401.71,deictic
403.77,405.3,metaphoric
406.25,409.5,beat
409.52,411.45,deictic (abstract)
411.45,415.84,beat
415.86,418.12,metaphoric
418.14,420.05,beat
420.08,420.46,beat
420.46,421.42,metaphoric
421.43,422.34,metaphoric
423.08,424.97,metaphoric
424.99,428.02,beat
428.04,431.64,beat
431.67,432.54,metaphoric
432.56,434.37,metaphoric
434.38,434.94,beat
434.94,435.6,beat
440.23,442.4,metaphoric
442.42,446.19,deictic (abstract)
446.2,454.58,metaphoric
454.6,456.31,metaphoric
457.34,458.33,metaphoric
458.36,459.31,beat
460.87,463.23,metaphoric
463.23,464.34,beat
464.36,469.36,beat
481.34,483.23,metaphoric
483.95,488.2,metaphoric
488.99,491.21,metaphoric
491.24,493.59,deictic (abstract)
493.61,495.2,beat
495.21,498.47,metaphoric
498.5,499.65,metaphoric
499.67,501.39,metaphoric
501.41,503.25,beat
505.98,508.24,deictic (abstract)
508.26,510.15,metaphoric
510.74,512.61,metaphoric
512.62,512.91,deictic (abstract)
512.91,515.72,metaphoric
515.74,519.22,beat
519.24,520.8,metaphoric
520.81,522.83,metaphoric
524.09,526.48,beat
526.5,528.15,beat
528.18,531.22,beat
531.25,534.83,metaphoric
535.47,538.43,emblem
538.45,541.56,metaphoric
541.58,545.3,beat
546.1,546.97,metaphoric
549.01,551.0,beat
551.72,553.83,beat
556.71,558.51,beat
559.19,560.9,deictic (abstract)
567.27,570.63,beat
573.05,574.08,beat
574.11,574.75,metaphoric
574.76,575.99,deictic (abstract)
