index,label
0,Gesture
1,Gesture
2,NoGesture
3,Gesture
4,Gesture
5,Gesture
6,NoGesture
7,NoGesture
8,NoGesture
9,Gesture
10,NoGesture
11,NoGesture
12,NoGesture
13,NoGesture
14,NoGesture
15,NoGesture
16,NoGesture
17,NoGesture
18,NoGesture
19,NoGesture
20,NoGesture
21,NoGesture
22,NoGesture
23,NoGesture
24,NoGesture
25,NoGesture
26,NoGesture
27,NoGesture
28,NoGesture
29,NoGesture
30,NoGesture
31,NoGesture
32,NoGesture
33,NoGesture
34,NoGesture
35,NoGesture
36,NoGesture
37,NoGesture
38,NoGesture
39,NoGesture
40,NoGesture
41,NoGesture
42,NoGesture
43,NoGesture
44,NoGesture
45,NoGesture
46,NoGesture
47,NoGesture
48,NoGesture
49,NoGesture
50,Gesture
51,NoGesture
52,NoGesture
53,Gesture
54,Gesture
55,Gesture
56,Gesture
57,Gesture
58,Gesture
59,Gesture
60,Gesture
61,Gesture
62,NoGesture
63,Gesture
64,NoGesture
65,NoGesture
66,NoGesture
67,Gesture
68,Gesture
69,Gesture
70,Gesture
71,Gesture
72,Gesture
73,Gesture
74,Gesture
75,Gesture
76,Gesture
77,Gesture
78,Gesture
79,Gesture
80,Gesture
81,Gesture
82,Gesture
83,Gesture
84,Gesture
85,Gesture
86,Gesture
87,Gesture
88,Gesture
89,Gesture
90,NoGesture
91,NoGesture
92,NoGesture
93,NoGesture
94,Gesture
95,NoGesture
96,NoGesture
97,Gesture
98,Gesture
99,NoGesture
100,Gesture
101,NoGesture
102,NoGesture
103,NoGesture
104,Gesture
105,Gesture
106,Gesture
107,Gesture
108,Gesture
109,Gesture
110,Gesture
111,NoGesture
112,NoGesture
113,Gesture
114,Gesture
115,Gesture
116,Gesture
117,Gesture
118,Gesture
119,Gesture
120,Gesture
121,Gesture
122,Gesture
123,Gesture
124,Gesture
125,Gesture
126,Gesture
127,Gesture
128,Gesture
129,Gesture
130,Gesture
131,Gesture
132,Gesture
133,NoGesture
134,NoGesture
135,NoGesture
136,NoGesture
137,NoGesture
138,NoGesture
139,NoGesture
140,Gesture
141,Gesture
142,NoGesture
143,NoGesture
144,NoGesture
145,NoGesture
146,NoGesture
