index,start_sec,end_sec,tier,label,video_path,eaf_path
0,590.426,591.170,left_hand-mode,indexing,videos_to_label/000.mp4,annotations/000.eaf
1,607.479,608.383,left_hand-mode,other,videos_to_label/001.mp4,annotations/001.eaf
2,633.745,634.489,left_hand-mode,acting,videos_to_label/002.mp4,annotations/002.eaf
3,634.670,635.149,left_hand-mode,acting,videos_to_label/003.mp4,annotations/003.eaf
4,639.298,639.979,left_hand-mode,other,videos_to_label/004.mp4,annotations/004.eaf
5,646.362,648.362,left_hand-mode,other,videos_to_label/005.mp4,annotations/005.eaf
6,845.894,846.894,left_hand-mode,emblematic,videos_to_label/006.mp4,annotations/006.eaf
7,848.564,849.372,left_hand-mode,emblematic,videos_to_label/007.mp4,annotations/007.eaf
8,589.681,590.883,right_hand-mode,indexing,videos_to_label/008.mp4,annotations/008.eaf
9,591.819,592.809,right_hand-mode,molding,videos_to_label/009.mp4,annotations/009.eaf
10,592.947,593.309,right_hand-mode,indexing,videos_to_label/010.mp4,annotations/010.eaf
11,593.723,594.075,right_hand-mode,indexing,videos_to_label/011.mp4,annotations/011.eaf
12,597.415,598.032,right_hand-mode,other,videos_to_label/012.mp4,annotations/012.eaf
13,599.894,600.979,right_hand-mode,other,videos_to_label/013.mp4,annotations/013.eaf
14,605.734,606.447,right_hand-mode,indexing,videos_to_label/014.mp4,annotations/014.eaf
15,611.809,612.649,right_hand-mode,indexing,videos_to_label/015.mp4,annotations/015.eaf
16,616.138,616.883,right_hand-mode,other,videos_to_label/016.mp4,annotations/016.eaf
17,629.064,633.989,right_hand-mode,representing,videos_to_label/017.mp4,annotations/017.eaf
18,637.255,638.851,right_hand-mode,molding,videos_to_label/018.mp4,annotations/018.eaf
19,648.213,652.309,right_hand-mode,acting,videos_to_label/019.mp4,annotations/019.eaf
20,658.862,660.085,right_hand-mode,indexing,videos_to_label/020.mp4,annotations/020.eaf
21,663.734,664.979,right_hand-mode,representing,videos_to_label/021.mp4,annotations/021.eaf
22,665.181,665.840,right_hand-mode,indexing,videos_to_label/022.mp4,annotations/022.eaf
23,666.734,669.394,right_hand-mode,indexing,videos_to_label/023.mp4,annotations/023.eaf
24,669.777,670.170,right_hand-mode,indexing,videos_to_label/024.mp4,annotations/024.eaf
25,670.447,673.426,right_hand-mode,acting,videos_to_label/025.mp4,annotations/025.eaf
26,673.957,675.032,right_hand-mode,acting,videos_to_label/026.mp4,annotations/026.eaf
27,675.128,676.989,right_hand-mode,drawing,videos_to_label/027.mp4,annotations/027.eaf
28,677.032,678.745,right_hand-mode,molding,videos_to_label/028.mp4,annotations/028.eaf
29,678.787,679.457,right_hand-mode,molding,videos_to_label/029.mp4,annotations/029.eaf
30,688.543,689.394,right_hand-mode,acting,videos_to_label/030.mp4,annotations/030.eaf
31,689.436,691.819,right_hand-mode,molding,videos_to_label/031.mp4,annotations/031.eaf
32,691.894,692.851,right_hand-mode,molding,videos_to_label/032.mp4,annotations/032.eaf
33,693.351,694.851,right_hand-mode,representing,videos_to_label/033.mp4,annotations/033.eaf
34,697.436,699.457,right_hand-mode,molding,videos_to_label/034.mp4,annotations/034.eaf
