index,label
0,indexing
1,other
2,NoGesture
3,acting
4,acting
5,other
6,NoGesture
7,NoGesture
8,NoGesture
9,other
10,NoGesture
11,NoGesture
12,NoGesture
13,NoGesture
14,NoGesture
15,NoGesture
16,NoGesture
17,NoGesture
18,NoGesture
19,NoGesture
20,NoGesture
21,NoGesture
22,NoGesture
23,NoGesture
24,NoGesture
25,NoGesture
26,NoGesture
27,NoGesture
28,NoGesture
29,NoGesture
30,NoGesture
31,NoGesture
32,NoGesture
33,NoGesture
34,NoGesture
35,NoGesture
36,NoGesture
37,NoGesture
38,NoGesture
39,NoGesture
40,NoGesture
41,NoGesture
42,NoGesture
43,NoGesture
44,NoGesture
45,NoGesture
46,NoGesture
47,NoGesture
48,NoGesture
49,NoGesture
50,emblematic
51,NoGesture
52,NoGesture
53,emblematic
54,indexing
55,molding
56,indexing
57,indexing
58,other
59,other
60,indexing
61,indexing
62,NoGesture
63,other
64,NoGesture
65,NoGesture
66,NoGesture
67,representing
68,molding
69,acting
70,indexing
71,representing
72,indexing
73,indexing
74,indexing
75,acting
76,acting
77,drawing
78,molding
79,molding
80,acting
81,molding
82,molding
83,representing
84,molding
85,acting
86,acting
87,indexing
88,indexing
89,beat
90,NoGesture
91,NoGesture
92,NoGesture
93,NoGesture
94,other
95,NoGesture
96,NoGesture
97,indexing
98,other
99,NoGesture
100,indexing
101,NoGesture
102,NoGesture
103,NoGesture
104,acting
105,indexing
106,indexing
107,indexing
108,beat
109,beat
110,indexing
111,NoGesture
112,NoGesture
113,indexing
114,emblematic
115,emblematic
116,other
117,other
118,drawing
119,other
120,molding
121,beat
122,other
123,other
124,other
125,molding
126,acting
127,molding
128,acting
129,acting
130,acting
131,molding
132,indexing
133,NoGesture
134,NoGesture
135,NoGesture
136,NoGesture
137,NoGesture
138,NoGesture
139,NoGesture
140,acting
141,other
142,NoGesture
143,NoGesture
144,NoGesture
145,NoGesture
146,NoGesture
