index,label
0,indexing
1,other
2,acting
3,acting
4,other
5,other
6,emblematic
7,emblematic
8,indexing
9,molding
10,indexing
11,indexing
12,other
13,other
14,indexing
15,indexing
16,other
17,representing
18,molding
19,acting
20,indexing
21,representing
22,indexing
23,indexing
24,indexing
25,acting
26,acting
27,drawing
28,molding
29,molding
30,acting
31,molding
32,molding
33,representing
34,molding
35,acting
36,acting
37,indexing
38,indexing
39,beat
40,other
41,indexing
42,other
43,indexing
44,acting
45,indexing
46,indexing
47,indexing
48,beat
49,beat
50,indexing
51,indexing
52,emblematic
53,emblematic
54,other
55,other
56,drawing
57,other
58,molding
59,beat
60,other
61,other
62,other
63,molding
64,acting
65,molding
66,acting
67,acting
68,acting
69,molding
70,indexing
71,acting
72,other
