index,start_sec,end_sec,tier,label,video_path,eaf_path
0,590.426,591.170,left_hand-mode,indexing,videos_to_label/000.mp4,annotations/000.eaf
1,607.479,608.383,left_hand-mode,other,videos_to_label/001.mp4,annotations/001.eaf
2,624.190,625.150,left_hand-mode,NoGesture,videos_to_label/002.mp4,annotations/002.eaf
3,633.745,634.489,left_hand-mode,acting,videos_to_label/003.mp4,annotations/003.eaf
4,634.670,635.149,left_hand-mode,acting,videos_to_label/004.mp4,annotations/004.eaf
5,639.298,639.979,left_hand-mode,other,videos_to_label/005.mp4,annotations/005.eaf
6,643.910,644.890,left_hand-mode,NoGesture,videos_to_label/006.mp4,annotations/006.eaf
7,644.890,644.970,left_hand-mode,NoGesture,videos_to_label/007.mp4,annotations/007.eaf
8,644.970,646.080,left_hand-mode,NoGesture,videos_to_label/008.mp4,annotations/008.eaf
9,646.362,648.362,left_hand-mode,other,videos_to_label/009.mp4,annotations/009.eaf
10,656.730,657.410,left_hand-mode,NoGesture,videos_to_label/010.mp4,annotations/010.eaf
11,657.690,658.710,left_hand-mode,NoGesture,videos_to_label/011.mp4,annotations/011.eaf
12,661.260,662.370,left_hand-mode,NoGesture,videos_to_label/012.mp4,annotations/012.eaf
13,662.620,663.600,left_hand-mode,NoGesture,videos_to_label/013.mp4,annotations/013.eaf
14,685.780,686.660,left_hand-mode,NoGesture,videos_to_label/014.mp4,annotations/014.eaf
15,686.720,687.740,left_hand-mode,NoGesture,videos_to_label/015.mp4,annotations/015.eaf
16,707.030,708.420,left_hand-mode,NoGesture,videos_to_label/016.mp4,annotations/016.eaf
17,719.220,720.240,left_hand-mode,NoGesture,videos_to_label/017.mp4,annotations/017.eaf
18,720.320,721.340,left_hand-mode,NoGesture,videos_to_label/018.mp4,annotations/018.eaf
19,721.440,722.460,left_hand-mode,NoGesture,videos_to_label/019.mp4,annotations/019.eaf
20,722.500,723.520,left_hand-mode,NoGesture,videos_to_label/020.mp4,annotations/020.eaf
21,723.580,724.600,left_hand-mode,NoGesture,videos_to_label/021.mp4,annotations/021.eaf
22,724.650,725.670,left_hand-mode,NoGesture,videos_to_label/022.mp4,annotations/022.eaf
23,728.280,729.300,left_hand-mode,NoGesture,videos_to_label/023.mp4,annotations/023.eaf
24,729.380,730.400,left_hand-mode,NoGesture,videos_to_label/024.mp4,annotations/024.eaf
25,776.610,777.630,left_hand-mode,NoGesture,videos_to_label/025.mp4,annotations/025.eaf
26,777.670,778.690,left_hand-mode,NoGesture,videos_to_label/026.mp4,annotations/026.eaf
27,778.760,779.240,left_hand-mode,NoGesture,videos_to_label/027.mp4,annotations/027.eaf
28,784.110,785.130,left_hand-mode,NoGesture,videos_to_label/028.mp4,annotations/028.eaf
29,785.170,786.190,left_hand-mode,NoGesture,videos_to_label/029.mp4,annotations/029.eaf
30,786.270,787.290,left_hand-mode,NoGesture,videos_to_label/030.mp4,annotations/030.eaf
31,787.350,788.370,left_hand-mode,NoGesture,videos_to_label/031.mp4,annotations/031.eaf
32,788.440,789.460,left_hand-mode,NoGesture,videos_to_label/032.mp4,annotations/032.eaf
