index,start_sec,end_sec,tier,label,video_path,eaf_path
0,617.143,621.994,left_hand-mode,molding,videos_to_label/000.mp4,annotations/000.eaf
1,622.8,623.875,left_hand-mode,beat,videos_to_label/001.mp4,annotations/001.eaf
2,624.499,624.98,left_hand-mode,indexing,videos_to_label/002.mp4,annotations/002.eaf
3,680.331,682.26,left_hand-mode,other,videos_to_label/013.mp4,annotations/013.eaf
4,729.188,729.864,left_hand-mode,indexing,videos_to_label/022.mp4,annotations/022.eaf
5,741.747,743.584,left_hand-mode,indexing,videos_to_label/023.mp4,annotations/023.eaf
6,746.325,747.786,left_hand-mode,indexing,videos_to_label/024.mp4,annotations/024.eaf
7,748.188,749.058,left_hand-mode,indexing,videos_to_label/025.mp4,annotations/025.eaf
8,749.084,750.877,left_hand-mode,indexing,videos_to_label/026.mp4,annotations/026.eaf
9,770.032,771.091,left_hand-mode,indexing,videos_to_label/028.mp4,annotations/028.eaf
10,778.896,780.117,left_hand-mode,indexing,videos_to_label/033.mp4,annotations/033.eaf
11,850.636,852.623,left_hand-mode,indexing,videos_to_label/045.mp4,annotations/045.eaf
12,865.662,867.688,left_hand-mode,indexing,videos_to_label/046.mp4,annotations/046.eaf
13,869.76,870.786,left_hand-mode,indexing,videos_to_label/048.mp4,annotations/048.eaf
14,870.786,871.563,left_hand-mode,indexing,videos_to_label/049.mp4,annotations/049.eaf
15,893.643,895.032,left_hand-mode,other,videos_to_label/052.mp4,annotations/052.eaf
16,896.007,897.921,left_hand-mode,indexing,videos_to_label/053.mp4,annotations/053.eaf
17,897.921,899.416,left_hand-mode,indexing,videos_to_label/054.mp4,annotations/054.eaf
18,933.779,934.571,left_hand-mode,indexing,videos_to_label/058.mp4,annotations/058.eaf
19,969.636,971.175,left_hand-mode,indexing,videos_to_label/076.mp4,annotations/076.eaf
20,985.429,985.825,left_hand-mode,indexing,videos_to_label/082.mp4,annotations/082.eaf
21,611.02,612.151,right_hand-mode,molding,videos_to_label/083.mp4,annotations/083.eaf
22,675.421,676.117,right_hand-mode,other,videos_to_label/084.mp4,annotations/084.eaf
23,687.675,689.52,right_hand-mode,other,videos_to_label/085.mp4,annotations/085.eaf
24,739.912,741.011,right_hand-mode,indexing,videos_to_label/086.mp4,annotations/086.eaf
25,760.838,762.136,right_hand-mode,other,videos_to_label/087.mp4,annotations/087.eaf
26,797.877,798.942,right_hand-mode,other,videos_to_label/088.mp4,annotations/088.eaf
27,801.818,802.545,right_hand-mode,indexing,videos_to_label/089.mp4,annotations/089.eaf
28,825.37,826.214,right_hand-mode,emblematic,videos_to_label/090.mp4,annotations/090.eaf
29,858.545,858.797,right_hand-mode,indexing,videos_to_label/091.mp4,annotations/091.eaf
30,862.286,863.26,right_hand-mode,representing,videos_to_label/092.mp4,annotations/092.eaf
31,863.26,864.186,right_hand-mode,indexing,videos_to_label/093.mp4,annotations/093.eaf
32,864.186,865.548,right_hand-mode,indexing,videos_to_label/094.mp4,annotations/094.eaf
33,879.461,883.292,right_hand-mode,molding,videos_to_label/095.mp4,annotations/095.eaf
