index,start_sec,end_sec,tier,label,video_path,eaf_path
0,608.617,609.383,left_hand-mode,other,videos_to_label/000.mp4,annotations/000.eaf
1,609.490,610.220,left_hand-mode,NoGesture,videos_to_label/001.mp4,annotations/001.eaf
2,610.310,610.920,left_hand-mode,NoGesture,videos_to_label/002.mp4,annotations/002.eaf
3,610.990,611.840,left_hand-mode,NoGesture,videos_to_label/003.mp4,annotations/003.eaf
4,611.910,612.460,left_hand-mode,NoGesture,videos_to_label/004.mp4,annotations/004.eaf
5,612.500,613.638,left_hand-mode,other,videos_to_label/005.mp4,annotations/005.eaf
6,613.720,614.230,left_hand-mode,NoGesture,videos_to_label/006.mp4,annotations/006.eaf
7,614.320,615.030,left_hand-mode,NoGesture,videos_to_label/007.mp4,annotations/007.eaf
8,616.280,617.220,left_hand-mode,NoGesture,videos_to_label/008.mp4,annotations/008.eaf
9,617.830,618.310,left_hand-mode,NoGesture,videos_to_label/009.mp4,annotations/009.eaf
10,631.060,631.400,left_hand-mode,NoGesture,videos_to_label/010.mp4,annotations/010.eaf
11,631.670,632.360,left_hand-mode,NoGesture,videos_to_label/011.mp4,annotations/011.eaf
12,632.450,632.920,left_hand-mode,NoGesture,videos_to_label/012.mp4,annotations/012.eaf
13,633.000,633.690,left_hand-mode,NoGesture,videos_to_label/013.mp4,annotations/013.eaf
14,633.760,634.200,left_hand-mode,NoGesture,videos_to_label/014.mp4,annotations/014.eaf
15,634.270,635.030,left_hand-mode,NoGesture,videos_to_label/015.mp4,annotations/015.eaf
16,635.110,635.370,left_hand-mode,NoGesture,videos_to_label/016.mp4,annotations/016.eaf
17,636.780,637.480,left_hand-mode,NoGesture,videos_to_label/017.mp4,annotations/017.eaf
18,637.560,638.410,left_hand-mode,NoGesture,videos_to_label/018.mp4,annotations/018.eaf
19,638.500,639.050,left_hand-mode,NoGesture,videos_to_label/019.mp4,annotations/019.eaf
20,639.180,639.930,left_hand-mode,NoGesture,videos_to_label/020.mp4,annotations/020.eaf
21,640.020,640.700,left_hand-mode,NoGesture,videos_to_label/021.mp4,annotations/021.eaf
22,640.810,641.250,left_hand-mode,NoGesture,videos_to_label/022.mp4,annotations/022.eaf
23,641.330,642.350,left_hand-mode,NoGesture,videos_to_label/023.mp4,annotations/023.eaf
24,642.390,642.860,left_hand-mode,NoGesture,videos_to_label/024.mp4,annotations/024.eaf
25,642.920,643.560,left_hand-mode,NoGesture,videos_to_label/025.mp4,annotations/025.eaf
26,643.680,644.340,left_hand-mode,NoGesture,videos_to_label/026.mp4,annotations/026.eaf
27,644.420,645.600,left_hand-mode,NoGesture,videos_to_label/027.mp4,annotations/027.eaf
28,645.660,646.380,left_hand-mode,NoGesture,videos_to_label/028.mp4,annotations/028.eaf
29,646.440,647.150,left_hand-mode,NoGesture,videos_to_label/029.mp4,annotations/029.eaf
30,647.220,647.950,left_hand-mode,NoGesture,videos_to_label/030.mp4,annotations/030.eaf
31,648.020,648.470,left_hand-mode,NoGesture,videos_to_label/031.mp4,annotations/031.eaf
32,648.600,649.410,left_hand-mode,NoGesture,videos_to_label/032.mp4,annotations/032.eaf
33,649.480,650.140,left_hand-mode,NoGesture,videos_to_label/033.mp4,annotations/033.eaf
34,650.180,651.040,left_hand-mode,NoGesture,videos_to_label/034.mp4,annotations/034.eaf
35,651.140,651.460,left_hand-mode,NoGesture,videos_to_label/035.mp4,annotations/035.eaf
36,651.590,651.820,left_hand-mode,NoGesture,videos_to_label/036.mp4,annotations/036.eaf
37,651.860,652.380,left_hand-mode,NoGesture,videos_to_label/037.mp4,annotations/037.eaf
38,652.447,653.830,left_hand-mode,other,videos_to_label/038.mp4,annotations/038.eaf
39,653.910,654.150,left_hand-mode,NoGesture,videos_to_label/039.mp4,annotations/039.eaf
40,654.270,655.340,left_hand-mode,NoGesture,videos_to_label/040.mp4,annotations/040.eaf
41,655.430,655.880,left_hand-mode,NoGesture,videos_to_label/041.mp4,annotations/041.eaf
42,656.030,656.340,left_hand-mode,NoGesture,videos_to_label/042.mp4,annotations/042.eaf
43,656.410,657.130,left_hand-mode,NoGesture,videos_to_label/043.mp4,annotations/043.eaf
44,657.200,657.450,left_hand-mode,NoGesture,videos_to_label/044.mp4,annotations/044.eaf
45,657.490,657.870,left_hand-mode,NoGesture,videos_to_label/045.mp4,annotations/045.eaf
46,657.930,658.450,left_hand-mode,NoGesture,videos_to_label/046.mp4,annotations/046.eaf
47,658.606,659.394,left_hand-mode,other,videos_to_label/047.mp4,annotations/047.eaf
48,659.460,659.950,left_hand-mode,NoGesture,videos_to_label/048.mp4,annotations/048.eaf
49,660.010,661.110,left_hand-mode,NoGesture,videos_to_label/049.mp4,annotations/049.eaf
50,661.190,661.560,left_hand-mode,NoGesture,videos_to_label/050.mp4,annotations/050.eaf
51,661.862,662.840,left_hand-mode,other,videos_to_label/051.mp4,annotations/051.eaf
52,664.560,665.050,left_hand-mode,NoGesture,videos_to_label/052.mp4,annotations/052.eaf
53,665.120,665.580,left_hand-mode,NoGesture,videos_to_label/053.mp4,annotations/053.eaf
54,665.640,667.160,left_hand-mode,NoGesture,videos_to_label/054.mp4,annotations/054.eaf
55,673.043,674.032,left_hand-mode,indexing,videos_to_label/055.mp4,annotations/055.eaf
56,674.989,675.638,left_hand-mode,representing,videos_to_label/056.mp4,annotations/056.eaf
57,717.440,718.170,left_hand-mode,NoGesture,videos_to_label/057.mp4,annotations/057.eaf
58,718.240,719.120,left_hand-mode,NoGesture,videos_to_label/058.mp4,annotations/058.eaf
59,719.200,720.110,left_hand-mode,NoGesture,videos_to_label/059.mp4,annotations/059.eaf
60,720.220,721.080,left_hand-mode,NoGesture,videos_to_label/060.mp4,annotations/060.eaf
61,721.160,722.050,left_hand-mode,NoGesture,videos_to_label/061.mp4,annotations/061.eaf
62,722.170,723.410,left_hand-mode,NoGesture,videos_to_label/062.mp4,annotations/062.eaf
63,723.520,724.220,left_hand-mode,NoGesture,videos_to_label/063.mp4,annotations/063.eaf
64,724.320,725.060,left_hand-mode,NoGesture,videos_to_label/064.mp4,annotations/064.eaf
65,725.200,725.560,left_hand-mode,NoGesture,videos_to_label/065.mp4,annotations/065.eaf
66,725.650,726.070,left_hand-mode,NoGesture,videos_to_label/066.mp4,annotations/066.eaf
67,726.170,726.400,left_hand-mode,NoGesture,videos_to_label/067.mp4,annotations/067.eaf
68,726.590,727.170,left_hand-mode,NoGesture,videos_to_label/068.mp4,annotations/068.eaf
69,727.260,727.950,left_hand-mode,NoGesture,videos_to_label/069.mp4,annotations/069.eaf
70,728.040,728.500,left_hand-mode,NoGesture,videos_to_label/070.mp4,annotations/070.eaf
71,728.580,729.280,left_hand-mode,NoGesture,videos_to_label/071.mp4,annotations/071.eaf
72,729.360,729.960,left_hand-mode,NoGesture,videos_to_label/072.mp4,annotations/072.eaf
73,730.050,730.640,left_hand-mode,NoGesture,videos_to_label/073.mp4,annotations/073.eaf
74,730.690,731.170,left_hand-mode,NoGesture,videos_to_label/074.mp4,annotations/074.eaf
75,731.220,731.760,left_hand-mode,NoGesture,videos_to_label/075.mp4,annotations/075.eaf
76,752.560,753.170,left_hand-mode,NoGesture,videos_to_label/076.mp4,annotations/076.eaf
77,753.240,753.890,left_hand-mode,NoGesture,videos_to_label/077.mp4,annotations/077.eaf
78,753.960,754.260,left_hand-mode,NoGesture,videos_to_label/078.mp4,annotations/078.eaf
79,754.310,754.940,left_hand-mode,NoGesture,videos_to_label/079.mp4,annotations/079.eaf
80,755.000,755.370,left_hand-mode,NoGesture,videos_to_label/080.mp4,annotations/080.eaf
81,755.400,756.230,left_hand-mode,NoGesture,videos_to_label/081.mp4,annotations/081.eaf
82,756.300,756.790,left_hand-mode,NoGesture,videos_to_label/082.mp4,annotations/082.eaf
83,756.850,757.580,left_hand-mode,NoGesture,videos_to_label/083.mp4,annotations/083.eaf
84,757.640,758.090,left_hand-mode,NoGesture,videos_to_label/084.mp4,annotations/084.eaf
85,758.140,759.130,left_hand-mode,NoGesture,videos_to_label/085.mp4,annotations/085.eaf
86,759.180,759.590,left_hand-mode,NoGesture,videos_to_label/086.mp4,annotations/086.eaf
87,759.650,760.460,left_hand-mode,NoGesture,videos_to_label/087.mp4,annotations/087.eaf
88,760.590,761.150,left_hand-mode,NoGesture,videos_to_label/088.mp4,annotations/088.eaf
89,761.190,761.730,left_hand-mode,NoGesture,videos_to_label/089.mp4,annotations/089.eaf
90,761.860,762.210,left_hand-mode,NoGesture,videos_to_label/090.mp4,annotations/090.eaf
91,762.290,762.910,left_hand-mode,NoGesture,videos_to_label/091.mp4,annotations/091.eaf
92,763.020,763.920,left_hand-mode,NoGesture,videos_to_label/092.mp4,annotations/092.eaf
93,763.970,764.440,left_hand-mode,NoGesture,videos_to_label/093.mp4,annotations/093.eaf
94,764.620,765.280,left_hand-mode,NoGesture,videos_to_label/094.mp4,annotations/094.eaf
95,765.330,765.780,left_hand-mode,NoGesture,videos_to_label/095.mp4,annotations/095.eaf
96,765.850,766.470,left_hand-mode,NoGesture,videos_to_label/096.mp4,annotations/096.eaf
97,766.570,767.080,left_hand-mode,NoGesture,videos_to_label/097.mp4,annotations/097.eaf
98,767.200,767.980,left_hand-mode,NoGesture,videos_to_label/098.mp4,annotations/098.eaf
99,768.050,768.600,left_hand-mode,NoGesture,videos_to_label/099.mp4,annotations/099.eaf
100,768.700,769.000,left_hand-mode,NoGesture,videos_to_label/100.mp4,annotations/100.eaf
101,769.110,770.020,left_hand-mode,NoGesture,videos_to_label/101.mp4,annotations/101.eaf
102,770.070,770.530,left_hand-mode,NoGesture,videos_to_label/102.mp4,annotations/102.eaf
103,770.600,771.330,left_hand-mode,NoGesture,videos_to_label/103.mp4,annotations/103.eaf
104,771.440,772.100,left_hand-mode,NoGesture,videos_to_label/104.mp4,annotations/104.eaf
105,775.590,776.150,left_hand-mode,NoGesture,videos_to_label/105.mp4,annotations/105.eaf
106,783.223,783.702,left_hand-mode,indexing,videos_to_label/106.mp4,annotations/106.eaf
107,789.904,792.851,left_hand-mode,indexing,videos_to_label/107.mp4,annotations/107.eaf
108,793.030,793.670,left_hand-mode,NoGesture,videos_to_label/108.mp4,annotations/108.eaf
109,793.800,794.550,left_hand-mode,NoGesture,videos_to_label/109.mp4,annotations/109.eaf
110,794.630,795.230,left_hand-mode,NoGesture,videos_to_label/110.mp4,annotations/110.eaf
111,795.390,795.690,left_hand-mode,NoGesture,videos_to_label/111.mp4,annotations/111.eaf
112,795.800,796.390,left_hand-mode,NoGesture,videos_to_label/112.mp4,annotations/112.eaf
113,804.457,805.947,left_hand-mode,acting,videos_to_label/113.mp4,annotations/113.eaf
114,807.400,807.790,left_hand-mode,NoGesture,videos_to_label/114.mp4,annotations/114.eaf
115,807.860,808.310,left_hand-mode,NoGesture,videos_to_label/115.mp4,annotations/115.eaf
116,808.430,808.930,left_hand-mode,NoGesture,videos_to_label/116.mp4,annotations/116.eaf
117,815.734,816.787,left_hand-mode,acting,videos_to_label/117.mp4,annotations/117.eaf
118,820.200,821.370,left_hand-mode,NoGesture,videos_to_label/118.mp4,annotations/118.eaf
119,821.440,821.860,left_hand-mode,NoGesture,videos_to_label/119.mp4,annotations/119.eaf
120,821.960,822.310,left_hand-mode,NoGesture,videos_to_label/120.mp4,annotations/120.eaf
121,822.390,823.020,left_hand-mode,NoGesture,videos_to_label/121.mp4,annotations/121.eaf
122,823.100,823.610,left_hand-mode,NoGesture,videos_to_label/122.mp4,annotations/122.eaf
