index,label
0,NoGesture
1,NoGesture
2,NoGesture
3,NoGesture
4,NoGesture
5,NoGesture
6,NoGesture
7,NoGesture
8,NoGesture
9,NoGesture
10,NoGesture
11,NoGesture
12,NoGesture
13,NoGesture
14,NoGesture
15,beat
16,NoGesture
17,NoGesture
18,NoGesture
19,NoGesture
20,NoGesture
21,NoGesture
22,NoGesture
23,NoGesture
24,NoGesture
25,NoGesture
26,NoGesture
27,NoGesture
28,NoGesture
29,NoGesture
30,NoGesture
31,NoGesture
32,beat
33,indexing
34,indexing
35,indexing
36,indexing
37,indexing
38,indexing
39,molding
40,molding
41,molding
42,molding
43,indexing
44,emblematic
45,emblematic
46,NoGesture
47,emblematic
48,other
49,other
50,NoGesture
51,NoGesture
52,NoGesture
53,NoGesture
54,NoGesture
55,NoGesture
56,NoGesture
57,NoGesture
58,NoGesture
59,NoGesture
60,NoGesture
61,NoGesture
62,NoGesture
63,NoGesture
64,NoGesture
65,NoGesture
66,NoGesture
67,NoGesture
68,NoGesture
69,NoGesture
70,NoGesture
71,NoGesture
72,NoGesture
73,NoGesture
74,NoGesture
75,indexing
76,drawing
77,indexing
78,representing
79,representing
80,drawing
81,other
82,other
83,emblematic
84,emblematic
85,emblematic
86,other
87,emblematic
88,NoGesture
89,NoGesture
90,beat
91,NoGesture
92,NoGesture
93,NoGesture
94,NoGesture
95,NoGesture
96,NoGesture
97,NoGesture
98,NoGesture
99,NoGesture
100,NoGesture
101,NoGesture
102,NoGesture
103,other
104,beat
105,beat
106,other
107,other
108,other
109,other
110,other
111,other
112,other
