index,start_sec,end_sec,tier,label,video_path,eaf_path
0,890.394,891.298,left_hand-mode,beat,videos_to_label/000.mp4,annotations/000.eaf
1,921.489,922.234,left_hand-mode,beat,videos_to_label/001.mp4,annotations/001.eaf
2,981.883,982.936,left_hand-mode,indexing,videos_to_label/002.mp4,annotations/002.eaf
3,994.638,996.543,left_hand-mode,indexing,videos_to_label/003.mp4,annotations/003.eaf
4,996.840,997.872,left_hand-mode,indexing,videos_to_label/004.mp4,annotations/004.eaf
5,1001.628,1006.862,left_hand-mode,indexing,videos_to_label/005.mp4,annotations/005.eaf
6,1017.383,1020.149,left_hand-mode,indexing,videos_to_label/006.mp4,annotations/006.eaf
7,1022.064,1023.404,left_hand-mode,indexing,videos_to_label/007.mp4,annotations/007.eaf
8,1023.521,1024.447,left_hand-mode,molding,videos_to_label/008.mp4,annotations/008.eaf
9,1025.638,1027.085,left_hand-mode,molding,videos_to_label/009.mp4,annotations/009.eaf
10,1027.404,1029.096,left_hand-mode,molding,videos_to_label/010.mp4,annotations/010.eaf
11,1058.383,1060.213,left_hand-mode,molding,videos_to_label/011.mp4,annotations/011.eaf
12,1060.255,1062.575,left_hand-mode,indexing,videos_to_label/012.mp4,annotations/012.eaf
13,1127.777,1130.170,left_hand-mode,emblematic,videos_to_label/013.mp4,annotations/013.eaf
14,1238.064,1240.777,left_hand-mode,emblematic,videos_to_label/014.mp4,annotations/014.eaf
15,857.128,859.202,right_hand-mode,emblematic,videos_to_label/015.mp4,annotations/015.eaf
16,860.319,861.340,right_hand-mode,other,videos_to_label/016.mp4,annotations/016.eaf
17,862.330,862.926,right_hand-mode,other,videos_to_label/017.mp4,annotations/017.eaf
18,984.160,985.085,right_hand-mode,indexing,videos_to_label/018.mp4,annotations/018.eaf
19,985.436,986.404,right_hand-mode,drawing,videos_to_label/019.mp4,annotations/019.eaf
20,986.596,987.149,right_hand-mode,indexing,videos_to_label/020.mp4,annotations/020.eaf
21,988.957,994.213,right_hand-mode,representing,videos_to_label/021.mp4,annotations/021.eaf
22,997.851,999.394,right_hand-mode,representing,videos_to_label/022.mp4,annotations/022.eaf
23,1000.032,1001.213,right_hand-mode,drawing,videos_to_label/023.mp4,annotations/023.eaf
24,1007.170,1016.117,right_hand-mode,other,videos_to_label/024.mp4,annotations/024.eaf
25,1081.234,1086.638,right_hand-mode,other,videos_to_label/025.mp4,annotations/025.eaf
26,1120.043,1120.926,right_hand-mode,emblematic,videos_to_label/026.mp4,annotations/026.eaf
27,1121.277,1122.032,right_hand-mode,emblematic,videos_to_label/027.mp4,annotations/027.eaf
28,1127.777,1130.170,right_hand-mode,emblematic,videos_to_label/028.mp4,annotations/028.eaf
29,1205.351,1206.266,right_hand-mode,other,videos_to_label/029.mp4,annotations/029.eaf
30,1238.064,1240.777,right_hand-mode,emblematic,videos_to_label/030.mp4,annotations/030.eaf
31,854.936,856.479,both_hands-mode,beat,videos_to_label/031.mp4,annotations/031.eaf
32,933.330,935.223,both_hands-mode,other,videos_to_label/032.mp4,annotations/032.eaf
33,977.085,977.947,both_hands-mode,beat,videos_to_label/033.mp4,annotations/033.eaf
34,980.096,981.702,both_hands-mode,beat,videos_to_label/034.mp4,annotations/034.eaf
35,1038.692,1042.479,both_hands-mode,other,videos_to_label/035.mp4,annotations/035.eaf
36,1054.383,1056.096,both_hands-mode,other,videos_to_label/036.mp4,annotations/036.eaf
37,1096.904,1097.692,both_hands-mode,other,videos_to_label/037.mp4,annotations/037.eaf
38,1097.755,1099.043,both_hands-mode,other,videos_to_label/038.mp4,annotations/038.eaf
39,1241.032,1242.075,both_hands-mode,other,videos_to_label/039.mp4,annotations/039.eaf
40,1284.606,1285.872,both_hands-mode,other,videos_to_label/040.mp4,annotations/040.eaf
41,1340.223,1343.575,both_hands-mode,other,videos_to_label/041.mp4,annotations/041.eaf
