index,start_sec,end_sec,tier,label,video_path,eaf_path
0,608.617,609.383,left_hand-mode,other,videos_to_label/000.mp4,annotations/000.eaf
1,612.500,613.638,left_hand-mode,other,videos_to_label/001.mp4,annotations/001.eaf
2,652.447,653.830,left_hand-mode,other,videos_to_label/002.mp4,annotations/002.eaf
3,658.606,659.394,left_hand-mode,other,videos_to_label/003.mp4,annotations/003.eaf
4,661.862,662.840,left_hand-mode,other,videos_to_label/004.mp4,annotations/004.eaf
5,673.043,674.032,left_hand-mode,indexing,videos_to_label/005.mp4,annotations/005.eaf
6,674.989,675.638,left_hand-mode,representing,videos_to_label/006.mp4,annotations/006.eaf
7,783.223,783.702,left_hand-mode,indexing,videos_to_label/007.mp4,annotations/007.eaf
8,789.904,792.851,left_hand-mode,indexing,videos_to_label/008.mp4,annotations/008.eaf
9,804.457,805.947,left_hand-mode,acting,videos_to_label/009.mp4,annotations/009.eaf
10,815.734,816.787,left_hand-mode,acting,videos_to_label/010.mp4,annotations/010.eaf
11,974.106,975.000,left_hand-mode,representing,videos_to_label/011.mp4,annotations/011.eaf
12,1062.841,1064.170,left_hand-mode,beat,videos_to_label/012.mp4,annotations/012.eaf
13,1065.319,1066.979,left_hand-mode,acting,videos_to_label/013.mp4,annotations/013.eaf
14,1068.309,1070.234,left_hand-mode,acting,videos_to_label/014.mp4,annotations/014.eaf
15,1070.777,1072.713,left_hand-mode,acting,videos_to_label/015.mp4,annotations/015.eaf
16,1072.894,1074.989,left_hand-mode,beat,videos_to_label/016.mp4,annotations/016.eaf
17,1075.085,1075.543,left_hand-mode,indexing,videos_to_label/017.mp4,annotations/017.eaf
18,1075.798,1076.383,left_hand-mode,indexing,videos_to_label/018.mp4,annotations/018.eaf
19,1080.468,1083.341,left_hand-mode,acting,videos_to_label/019.mp4,annotations/019.eaf
20,1110.851,1111.777,left_hand-mode,indexing,videos_to_label/020.mp4,annotations/020.eaf
21,1111.862,1112.628,left_hand-mode,indexing,videos_to_label/021.mp4,annotations/021.eaf
22,1184.479,1185.947,left_hand-mode,emblematic,videos_to_label/022.mp4,annotations/022.eaf
23,1186.192,1188.692,left_hand-mode,other,videos_to_label/023.mp4,annotations/023.eaf
24,1235.053,1236.234,left_hand-mode,indexing,videos_to_label/024.mp4,annotations/024.eaf
25,1236.287,1237.394,left_hand-mode,indexing,videos_to_label/025.mp4,annotations/025.eaf
26,1394.692,1395.404,left_hand-mode,emblematic,videos_to_label/026.mp4,annotations/026.eaf
27,1411.543,1412.989,left_hand-mode,circle,videos_to_label/027.mp4,annotations/027.eaf
28,1430.075,1430.989,left_hand-mode,indexing,videos_to_label/028.mp4,annotations/028.eaf
29,1431.426,1432.138,left_hand-mode,indexing,videos_to_label/029.mp4,annotations/029.eaf
30,619.223,622.883,right_hand-mode,beat,videos_to_label/030.mp4,annotations/030.eaf
31,623.362,624.426,right_hand-mode,indexing,videos_to_label/031.mp4,annotations/031.eaf
32,625.553,627.160,right_hand-mode,indexing,videos_to_label/032.mp4,annotations/032.eaf
33,627.223,629.287,right_hand-mode,other,videos_to_label/033.mp4,annotations/033.eaf
34,629.628,630.957,right_hand-mode,indexing,videos_to_label/034.mp4,annotations/034.eaf
35,635.745,636.670,right_hand-mode,other,videos_to_label/035.mp4,annotations/035.eaf
36,663.447,664.479,right_hand-mode,other,videos_to_label/036.mp4,annotations/036.eaf
37,667.245,667.787,right_hand-mode,indexing,videos_to_label/037.mp4,annotations/037.eaf
38,668.021,669.564,right_hand-mode,representing,videos_to_label/038.mp4,annotations/038.eaf
39,669.926,671.298,right_hand-mode,indexing,videos_to_label/039.mp4,annotations/039.eaf
40,671.447,672.457,right_hand-mode,indexing,videos_to_label/040.mp4,annotations/040.eaf
41,673.043,674.032,right_hand-mode,indexing,videos_to_label/041.mp4,annotations/041.eaf
42,674.989,675.638,right_hand-mode,representing,videos_to_label/042.mp4,annotations/042.eaf
43,679.085,681.692,right_hand-mode,indexing,videos_to_label/043.mp4,annotations/043.eaf
44,683.851,684.745,right_hand-mode,other,videos_to_label/044.mp4,annotations/044.eaf
45,685.245,687.128,right_hand-mode,other,videos_to_label/045.mp4,annotations/045.eaf
46,687.585,688.479,right_hand-mode,indexing,videos_to_label/046.mp4,annotations/046.eaf
47,688.543,688.692,right_hand-mode,indexing,videos_to_label/047.mp4,annotations/047.eaf
48,688.713,689.053,right_hand-mode,indexing,videos_to_label/048.mp4,annotations/048.eaf
49,689.266,690.660,right_hand-mode,indexing,videos_to_label/049.mp4,annotations/049.eaf
50,691.117,692.255,right_hand-mode,beat,videos_to_label/050.mp4,annotations/050.eaf
51,693.106,694.170,right_hand-mode,indexing,videos_to_label/051.mp4,annotations/051.eaf
52,694.223,695.149,right_hand-mode,drawing,videos_to_label/052.mp4,annotations/052.eaf
53,696.543,697.915,right_hand-mode,drawing,videos_to_label/053.mp4,annotations/053.eaf
54,698.670,700.809,right_hand-mode,molding,videos_to_label/054.mp4,annotations/054.eaf
55,702.851,704.628,right_hand-mode,molding,videos_to_label/055.mp4,annotations/055.eaf
56,705.351,708.277,right_hand-mode,drawing,videos_to_label/056.mp4,annotations/056.eaf
57,708.404,708.851,right_hand-mode,indexing,videos_to_label/057.mp4,annotations/057.eaf
58,709.340,710.989,right_hand-mode,indexing,videos_to_label/058.mp4,annotations/058.eaf
59,711.426,712.851,right_hand-mode,indexing,videos_to_label/059.mp4,annotations/059.eaf
60,712.947,713.681,right_hand-mode,drawing,videos_to_label/060.mp4,annotations/060.eaf
61,715.809,716.436,right_hand-mode,drawing,videos_to_label/061.mp4,annotations/061.eaf
62,739.532,740.777,right_hand-mode,indexing,videos_to_label/062.mp4,annotations/062.eaf
63,741.340,743.234,right_hand-mode,other,videos_to_label/063.mp4,annotations/063.eaf
64,743.617,744.606,right_hand-mode,indexing,videos_to_label/064.mp4,annotations/064.eaf
65,776.287,778.543,right_hand-mode,indexing,videos_to_label/065.mp4,annotations/065.eaf
66,778.575,780.809,right_hand-mode,indexing,videos_to_label/066.mp4,annotations/066.eaf
67,783.426,783.883,right_hand-mode,indexing,videos_to_label/067.mp4,annotations/067.eaf
68,785.106,786.575,right_hand-mode,indexing,videos_to_label/068.mp4,annotations/068.eaf
69,786.606,787.064,right_hand-mode,indexing,videos_to_label/069.mp4,annotations/069.eaf
70,796.479,797.649,right_hand-mode,indexing,videos_to_label/070.mp4,annotations/070.eaf
71,798.936,801.426,right_hand-mode,representing,videos_to_label/071.mp4,annotations/071.eaf
72,801.745,803.500,right_hand-mode,indexing,videos_to_label/072.mp4,annotations/072.eaf
73,803.723,806.287,right_hand-mode,acting,videos_to_label/073.mp4,annotations/073.eaf
74,810.809,811.436,right_hand-mode,indexing,videos_to_label/074.mp4,annotations/074.eaf
75,811.511,812.468,right_hand-mode,indexing,videos_to_label/075.mp4,annotations/075.eaf
76,812.575,814.266,right_hand-mode,acting,videos_to_label/076.mp4,annotations/076.eaf
77,814.351,815.404,right_hand-mode,indexing,videos_to_label/077.mp4,annotations/077.eaf
78,815.692,816.894,right_hand-mode,acting,videos_to_label/078.mp4,annotations/078.eaf
79,817.160,818.223,right_hand-mode,indexing,videos_to_label/079.mp4,annotations/079.eaf
80,848.340,849.692,right_hand-mode,indexing,videos_to_label/080.mp4,annotations/080.eaf
81,849.819,853.160,right_hand-mode,indexing,videos_to_label/081.mp4,annotations/081.eaf
82,866.032,870.638,right_hand-mode,other,videos_to_label/082.mp4,annotations/082.eaf
83,874.798,878.319,right_hand-mode,indexing,videos_to_label/083.mp4,annotations/083.eaf
84,878.383,879.362,right_hand-mode,indexing,videos_to_label/084.mp4,annotations/084.eaf
85,879.830,881.723,right_hand-mode,drawing,videos_to_label/085.mp4,annotations/085.eaf
86,882.404,884.298,right_hand-mode,acting,videos_to_label/086.mp4,annotations/086.eaf
87,884.351,884.926,right_hand-mode,drawing,videos_to_label/087.mp4,annotations/087.eaf
88,885.660,886.957,right_hand-mode,acting,videos_to_label/088.mp4,annotations/088.eaf
89,887.138,887.787,right_hand-mode,acting,videos_to_label/089.mp4,annotations/089.eaf
90,887.947,888.872,right_hand-mode,drawing,videos_to_label/090.mp4,annotations/090.eaf
91,892.543,893.383,right_hand-mode,indexing,videos_to_label/091.mp4,annotations/091.eaf
92,893.468,895.394,right_hand-mode,indexing,videos_to_label/092.mp4,annotations/092.eaf
93,895.809,897.128,right_hand-mode,indexing,videos_to_label/093.mp4,annotations/093.eaf
94,900.149,901.415,right_hand-mode,indexing,videos_to_label/094.mp4,annotations/094.eaf
95,906.947,908.053,right_hand-mode,indexing,videos_to_label/095.mp4,annotations/095.eaf
96,908.340,909.500,right_hand-mode,indexing,videos_to_label/096.mp4,annotations/096.eaf
97,910.404,911.000,right_hand-mode,indexing,videos_to_label/097.mp4,annotations/097.eaf
98,911.064,911.500,right_hand-mode,indexing,videos_to_label/098.mp4,annotations/098.eaf
99,918.617,919.883,right_hand-mode,acting,videos_to_label/099.mp4,annotations/099.eaf
100,927.426,930.128,right_hand-mode,indexing,videos_to_label/100.mp4,annotations/100.eaf
101,930.351,930.915,right_hand-mode,acting,videos_to_label/101.mp4,annotations/101.eaf
102,931.298,933.266,right_hand-mode,drawing,videos_to_label/102.mp4,annotations/102.eaf
